x y
-3643000 1.111
-3638000 0.7575
-3633000 -0.4545
-3628000 -1.0605
-3623000 -0.6565
-3618000 0
-3613000 0.808
-3608000 1.3635
-3603000 0.5555
-3598000 1.01
-3593000 1.0605
-3588000 0.2525
-3583000 0.202
-3578000 0.101
-3573000 1.313
-3568000 1.5655
-3563000 0.7575
-3558000 0.303
-3553000 0.404
-3548000 0.4545
-3543000 0.9595
-3538000 1.414
-3533000 0.9595
-3528000 0.303
-3523000 0.101
-3518000 0.4545
-3513000 0.808
-3508000 1.1615
-3503000 1.2625
-3498000 1.3635
-3493000 0.707
-3488000 1.111
-3483000 1.01
-3478000 1.5655
-3473000 1.414
-3468000 0.5555
-3463000 -0.1515
-3458000 0.6565
-3453000 0.8585
-3448000 0.404
-3443000 0.808
-3438000 1.515
-3433000 1.515
-3428000 0.4545
-3423000 0
-3418000 0.505
-3413000 1.0605
-3408000 0.606
-3403000 0.303
-3398000 0.3535
-3393000 0.606
-3388000 0.202
-3383000 -0.2525
-3378000 -0.7575
-3373000 -0.7575
-3368000 0.2525
-3363000 0.4545
-3358000 0.1515
-3353000 -0.101
-3348000 0.101
-3343000 -0.5555
-3338000 -1.0605
-3333000 -0.2525
-3328000 -0.0505
-3323000 0
-3318000 0.505
-3313000 -0.101
-3308000 -0.8585
-3303000 -1.111
-3298000 -2.5755
-3293000 -2.727
-3288000 -2.2725
-3283000 -1.01
-3278000 -0.303
-3273000 -0.6565
-3268000 -0.3535
-3263000 -0.606
-3258000 0.202
-3253000 0.1515
-3248000 0.8585
-3243000 0.808
-3238000 0.808
-3233000 -0.202
-3228000 0.3535
-3223000 -0.0505
-3218000 0.3535
-3213000 0
-3208000 0.909
-3203000 1.01
-3198000 0.909
-3193000 0.5555
-3188000 1.2625
-3183000 0.606
-3178000 0.202
-3173000 0.0505
-3168000 0.303
-3163000 0.808
-3158000 0.9595
-3153000 1.2625
-3148000 0.202
-3143000 -0.7575
-3138000 -0.909
-3133000 -1.2625
-3128000 -0.909
-3123000 -0.707
-3118000 -0.303
-3113000 -0.101
-3108000 0.3535
-3103000 0.707
-3098000 0.606
-3093000 0.101
-3088000 0.101
-3083000 1.313
-3078000 0.5555
-3073000 0.505
-3068000 0.5555
-3063000 0.7575
-3058000 1.2625
-3053000 0.303
-3048000 -0.6565
-3043000 -0.5555
-3038000 -0.1515
-3033000 0.5555
-3028000 0.3535
-3023000 -0.606
-3018000 -1.4645
-3013000 -1.616
-3008000 -1.313
-3003000 -1.212
-2998000 -0.808
-2995500 -0.101
-2993000 0
-2990500 -0.0505
-2988000 0.101
-2985500 0.2525
-2983000 0.6565
-2980500 -0.303
-2978000 -1.2625
-2975500 -1.1615
-2973000 -1.414
-2970500 -0.6565
-2968000 -0.505
-2965500 -0.7575
-2963000 0.202
-2960500 0.101
-2958000 0.606
-2955500 -0.1515
-2953000 0.202
-2950500 1.414
-2948000 1.3635
-2945500 0.707
-2943000 1.2625
-2940500 1.2625
-2938000 0.5555
-2935500 0.101
-2933000 -0.5555
-2930500 -1.5655
-2928000 -1.1615
-2925500 -0.6565
-2923000 -1.515
-2920500 -1.515
-2918000 -1.5655
-2915500 -1.0605
-2913000 -1.4645
-2910500 -0.505
-2908000 -0.3535
-2905500 -0.404
-2903000 -0.606
-2900500 -0.0505
-2898000 -0.101
-2895500 0.303
-2893000 -0.4545
-2890500 -0.707
-2888000 -1.4645
-2885500 -1.313
-2883000 -1.515
-2880500 -1.2625
-2878000 -1.414
-2875500 -1.3635
-2873000 -0.1515
-2870500 -0.1515
-2868000 -0.505
-2865500 -0.5555
-2863000 -0.8585
-2860500 -0.2525
-2858000 0.0505
-2855500 -0.6565
-2853000 -1.212
-2850500 -1.111
-2848000 -1.01
-2845500 -1.515
-2843000 -0.909
-2840500 -1.111
-2838000 -0.707
-2835500 -0.3535
-2833000 0.1515
-2830500 0.4545
-2828000 0.202
-2825500 0.404
-2823000 0.2525
-2820500 -0.303
-2818000 -0.909
-2815500 -1.2625
-2813000 -2.1715
-2810500 -2.323
-2808000 -2.2725
-2805500 -2.6765
-2803000 -2.929
-2800500 -2.727
-2798000 -1.515
-2795500 -1.01
-2793000 -1.0605
