x,temperature{thickness:5;stroke:yellow}
-278038,-6.17
-277781,-5.49
-277533,-5.1
-277292,-4.67
-277057,-4.44
-276825,-4.43
-276593,-4.44
-276361,-4.46
-276130,-4.44
-275903,-4
-275680,-3.95
-275460,-3.61
-275246,-3.33
-275036,-3.01
-274830,-2.88
-274622,-3.35
-274409,-3.62
-274195,-3.48
-273983,-3.38
-273772,-3.53
-273559,-3.71
-273344,-3.73
-273127,-4.13
-272909,-3.95
-272692,-3.95
-272477,-3.8
-272263,-3.84
-272048,-4.1
-271827,-4.55
-271605,-4.33
-271385,-4.33
-271166,-4.35
-270946,-4.43
-270724,-4.65
-270500,-4.9
-270276,-4.6
-270053,-4.8
-269822,-5.65
-269584,-5.74
-269347,-5.65
-269114,-5.3
-268883,-5.44
-268648,-5.8
-268409,-6
-268169,-5.95
-267926,-6.47
-267678,-6.59
-267429,-6.65
-267178,-6.84
-266926,-6.77
-266677,-6.61
-266435,-5.96
-266194,-6.59
-265946,-6.86
-265692,-7.28
-265431,-7.65
-265167,-7.66
-264905,-7.54
-264643,-7.75
-264380,-7.61
-264123,-7.18
-263865,-7.78
-263595,-8.57
-263321,-8.13
-263055,-7.85
-262792,-7.86
-262533,-7.52
-262273,-7.93
-262004,-8.53
-261732,-8.3
-261466,-8.08
-261201,-8.13
-260933,-8.42
-260665,-8.21
-260399,-8.3
-260131,-8.42
-259865,-8.16
-259602,-8.19
-259336,-8.43
-259069,-8.43
-258801,-8.52
-258536,-8.26
-258272,-8.31
-258009,-8.3
-257750,-7.99
-257492,-8.05
-257235,-8.09
-256978,-7.98
-256723,-8.01
-256471,-7.67
-256224,-7.5
-255975,-7.85
-255726,-7.7
-255479,-7.58
-255234,-7.42
-254994,-7.13
-254759,-6.93
-254525,-6.95
-254294,-6.69
-254068,-6.36
-253844,-6.43
-253620,-6.39
-253399,-6.16
-253183,-5.77
-252972,-5.41
-252767,-5.14
-252560,-5.6
-252345,-6.45
-252121,-6.75
-251896,-6.63
-251670,-6.88
-251442,-6.93
-251213,-7.13
