x y
-16870 -7.58
-16950 -7.63
-17032 -8.11
-17116 -8.26
-17199 -8.03
-17282 -7.81
-17362 -7.54
-17443 -7.7
-17525 -8.15
-17610 -8.45
-17696 -8.71
-17782 -8.52
-17868 -8.61
-17953 -7.99
-18035 -7.62
-18116 -7.84
-18197 -7.52
-18278 -7.82
-18361 -8.11
-18444 -8.08
-18528 -8.03
-18611 -8.04
-18694 -7.96
-18777 -7.87
-18859 -7.94
-18943 -8.12
-19026 -8.1
-19110 -7.93
-19192 -7.91
-19275 -7.91
-19358 -8
-19442 -8.09
-19525 -7.73
-19605 -7.36
-19686 -7.66
-19769 -8.24
-19854 -8.33
-19939 -8.12
-20023 -8.15
-20108 -8.41
-20196 -8.82
-20284 -8.82
-20371 -8.45
-20457 -8.3
-20543 -8.37
-20629 -8.45
-20716 -8.52
-20803 -8.59
-20888 -7.97
-20972 -7.92
-21057 -8.5
-21145 -8.8
-21234 -8.89
-21324 -9.01
-21412 -8.54
-21497 -7.76
-21581 -8.2
-21668 -8.63
-21755 -8.63
-21843 -8.63
-21931 -8.44
-22017 -8.26
-22102 -8.03
-22186 -7.87
-22272 -8.68
-22363 -9.39
-22453 -8.46
-22537 -7.53
-22619 -7.51
-22700 -7.5
-22781 -7.25
-22860 -7
-22941 -7.57
-23024 -8.14
-23109 -7.98
-23193 -7.83
-23277 -7.68
-23360 -7.89
-23445 -8.27
-23531 -8.13
-23615 -7.7
-23697 -7.05
-23776 -6.98
-23855 -7.26
-23936 -7.29
-24017 -7.47
-24099 -7.48
-24180 -7.16
-24261 -7.24
-24342 -7.55
-24425 -7.82
-24510 -8.05
-24595 -8.09
-24681 -8.09
-24766 -7.74
-24849 -7.56
-24933 -7.9
-25019 -8.64
-25110 -9.02
-25202 -9.02
-25293 -8.82
-25382 -8.62
-25470 -8.14
-25555 -7.84
-25641 -8.28
-25730 -8.66
-25819 -8.52
-25907 -8.27
-25993 -8.09
-26079 -7.9
-26163 -7.69
-26247 -7.49
-26331 -8.16
-26420 -8.82
-26510 -8.47
-26597 -8.12
-26683 -7.77
-26766 -7.42
-26848 -7.07
-26927 -6.71
-27006 -6.71
-27085 -6.98
-27166 -7.25
-27249 -7.52
-27332 -7.79
-27418 -8.05
-27505 -8.35
-27594 -8.37
-27682 -8.33
-27771 -8.58
-27861 -8.43
-27949 -8.3
-28036 -7.95
-28120 -7.14
-28201 -7.02
-28283 -7.62
-28368 -7.83
-28453 -7.75
-28538 -7.64
-28622 -7.52
-28705 -7.41
-28788 -7.3
-28871 -7.63
-28957 -7.95
-29043 -8
